,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,2270543.0,1721088.0,238062.0,164092.0,1.0,3.0,2.0,0.0,0.0,17.0,6.0,179.0,52.0
ttbar,53702.3254,37079.6932,18458.0015,15205.1218,0.1032,0.5688,0.3845,0.1388,0.0,1.6826,0.77,50.3076,17.904
gghtobb,439.5024,342.3193,81.4027,78.8136,0.0225,0.0417,0.0487,0.0171,0.0,0.0887,0.0263,0.1466,0.0607
vbfhtobb,117.6732,94.9253,11.4893,10.8955,0.0002,0.0049,0.0053,0.0,0.0,0.0,0.0,0.0208,0.0121
vhtobb,96.8708,75.3805,46.7985,45.7499,0.0341,0.1466,0.3776,0.04,0.0003,0.419,0.0885,1.3246,0.8478
novhhtobb,439.5024,339.729,80.6424,78.0636,0.0223,0.0425,0.0499,0.0171,0.0,0.0902,0.0267,0.1437,0.0594
tthtobb,115.0378,88.6737,48.8127,44.1669,0.0078,0.0477,0.0401,0.0119,0.0,0.1455,0.0562,0.3502,0.1694
nozzdiboson,489.146,344.9545,116.2925,84.6476,0.0,0.0611,0.0,0.0,0.0,0.0,0.0,0.2588,0.0
vjets,49944.9841,32097.174,5226.2573,4016.8037,0.1701,0.4074,0.0003,0.1016,0.0,-0.1461,0.0306,6.8598,1.5625
hh4b,3.1081,2.6023,1.2192,1.2133,0.0374,0.049,0.132,0.1086,0.0001,0.1413,0.1074,0.1067,0.083
hh4b-kl0,4.3365,3.6059,1.6227,1.6122,0.0452,0.0585,0.1665,0.1389,0.0,0.1934,0.1529,0.1185,0.0964
hh4b-kl2p45,2.3612,2.007,0.9311,0.9215,0.0338,0.0443,0.1029,0.0842,0.0,0.1027,0.0806,0.0769,0.0577
hh4b-kl5,3.8693,3.1218,1.0544,1.0139,0.0242,0.0323,0.075,0.0641,0.0,0.0869,0.066,0.0635,0.0497
vbfhh4b,0.0906,0.0762,0.0242,0.0235,0.0025,0.0034,0.0023,0.0019,0.0,0.0011,0.0009,0.0016,0.0012
vbfhh4b-k2v0,20.0754,18.6316,11.9525,11.8505,2.3954,3.1764,2.4024,1.9412,0.0116,0.3808,0.2862,0.6756,0.5052
vbfhh4b-kv1p74-k2v1p37-kl14p4,36.5199,31.9099,16.2079,15.6585,3.3342,4.4291,3.0667,2.4757,0.0138,0.225,0.166,0.6981,0.5291
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0115,0.0108,0.0074,0.0073,0.0016,0.0021,0.0016,0.0013,0.0,0.0002,0.0001,0.0004,0.0003
vbfhh4b-kvm0p758-k2v1p44-klm19p3,48.7667,42.9258,20.7801,20.4546,3.4058,4.5495,3.6855,3.0262,0.0091,0.8563,0.63,1.223,0.8971
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.0898,0.0748,0.0223,0.0212,0.0022,0.0029,0.0027,0.0022,0.0,0.0008,0.0006,0.0008,0.0006
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.2954,3.0776,2.046,2.0279,0.4215,0.5579,0.431,0.348,0.0022,0.058,0.0436,0.1055,0.0789
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.5367,0.4616,0.1857,0.1811,0.028,0.0367,0.0304,0.0248,0.0002,0.0057,0.0043,0.0074,0.0054
vbfhh4b-kvm1p83-k2v3p57-klm3p39,2.421,2.0777,0.8277,0.8009,0.1182,0.1578,0.133,0.1084,0.0006,0.0278,0.0213,0.0371,0.0275
vbfhh4b-kvm2p12-k2v3p87-klm5p96,54.735,47.5406,21.2401,20.8958,3.2967,4.372,3.4196,2.7543,0.0135,1.05,0.809,1.3374,0.9744
diboson,489.146,346.1341,118.9098,88.3899,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.2543,0.0
